,,,,,,,,,,,
,cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
,Farhaven Elf,Shadowmoor,1,1,7,9.94,strikezone,tcgplayer,2,,%
,Talisman of Indulgence,Mirrodin,1,1,6.6,4,cardkingdom,tcgplayer,18,,%
,Body Snatcher,Urza's Destiny,1,1,3.5,3.49,cardkingdom,channelfireball,13,0,%
,Phyrexian Colossus,Seventh Edition,1,1,3.5,3.13,cardkingdom,tcgplayer,12,,%
,Ghost Council of Orzhova,Guildpact,1,4,3,3.49,channelfireball,cardkingdom,11,15,%
,Spawning Pit,Darksteel,1,1,2.58,3.46,abugames,tcgplayer,4,,%
,Bonescythe Sliver,Magic 2014 Core Set,1,1,2,1.99,strikezone,cardkingdom,2,8,%
,Mentor of the Meek,Innistrad,1,1,2,3.49,capefeargames,cardkingdom,8,8,%
,"Mirko Vosk, Mind Drinker",Dragon's Maze,1,1,2,2.49,strikezone,cardkingdom,2,18,%
,Shivan Harvest,Invasion,1,1,2,3.49,capefeargames,cardkingdom,8,6,%
,Myr Turbine,Mirrodin Besieged,1,1,1.92,2.49,trollandtoad,cardkingdom,6,15,%
,Krosan Restorer,Torment,1,1,1.76,3.49,abugames,channelfireball,4,0,%
,Court Hussar,Dissension,1,1,1.54,2.45,abugames,tcgplayer,4,,%
,Blizzard Specter,Coldsnap,1,1,1.5,1.79,coolstuffinc,channelfireball,,4,%
,Epochrasite,Future Sight,1,1,1.4,2.7,cardkingdom,tcgplayer,13,,%
,Ornithopter,Magic 2010,1,1,1.23,1.99,abugames,cardkingdom,4,17,%
,Black Vise,From the Vault: Relics,1,1,1,3.45,capefeargames,capefeargames,3,5,%
,Blessing of the Nephilim,Dissension,1,1,1,1.99,capefeargames,cardkingdom,8,15,%
,Contagion Clasp,Scars of Mirrodin,1,1,1,2.99,capefeargames,cardkingdom,7,18,%
,Merfolk Sovereign,Magic 2011,1,1,0.77,0.99,trollandtoad,cardkingdom,1,9,%
,Heartstone,Premium Deck Series: Slivers,1,3,0.75,0.98,strikezone,capefeargames,4,1,%
,Hellrider,Dark Ascension,1,1,0.75,1.99,coolstuffinc,cardkingdom,,2,%
,Khalni Garden,Worldwake,1,1,0.75,1.49,channelfireball,cardkingdom,7,4,%
,Resolute Archangel,Magic 2015 Core Set,1,1,0.75,0.99,strikezone,cardkingdom,1,14,%
,Strangleroot Geist,Dark Ascension,1,1,0.75,1.49,coolstuffinc,cardkingdom,,16,%
,Llanowar Elves,Magic 2012,1,2,0.72,1.97,trollandtoad,tcgplayer,1,,%
,Soul of Ravnica,Magic 2015 Core Set,1,1,0.6,1.32,Bulk,tcgplayer,99,,%
