Cardname,Edition,Qty,Foil
Shivan Dragon,Magic 2014 Core Set,1,True
Divine Verdict,Magic 2013,1,True
Castigate,Guildpact,1,True
Uproot,Betrayers of Kamigawa,1,True
Orcish Bloodpainter,Coldsnap,1,True
Ronom Hulk,Coldsnap,1,True
Ridge Rannet,Shards of Alara,1,True
Thunder-Thrash Elder,Planechase Anthology,1,False
Thunder-Thrash Elder,Shards of Alara,1,True
Hinterland Hermit,Dark Ascension,1,True
Hunting Kavu,Invasion,1,True
Peer Through Depths,Modern Masters,1,True
Faerie Mechanist,Modern Masters,1,True
Kessig Wolf,Innistrad,1,True
Havengul Vampire,Avacyn Restored,1,True
Harvest Pyre,Innistrad,1,True
Valor Made Real,Dissension,1,True
Selesnya Evangel,Ravnica: City of Guilds,1,True
Sphere of Purity,Mirrodin,1,True
Spawning Pit,Darksteel,1,True
Urborg Skeleton,Invasion,1,True
Lavamancer's Skill,Onslaught,1,True
Asha's Favor,Conflux,1,True
Puppeteer,Eighth Edition,1,True
Rhystic Circle,Prophecy,1,True
Volcanic Dragon,Magic 2012,1,True
Mass Calcify,Magic 2015 Core Set,1,True
Oath of the Ancient Wood,Magic 2014 Core Set,1,True
Precursor Golem,Modern Masters 2015 Edition,1,True
Spikeshot Elder,Modern Masters 2015 Edition,1,True
Retaliator Griffin,Media Inserts,1,False
Mondronen Shaman,Release Events,1,True
Vengeful Archon,Magic 2011,1,True
Zealous Conscripts,Avacyn Restored,1,True
Victory's Herald,Mirrodin Besieged,1,True
Colossal Whale,Release Events,1,False
Resolute Archangel,Magic 2015 Core Set,1,True
Hypersonic Dragon,Return to Ravnica,1,True
Archon of the Triumvirate,Return to Ravnica,1,True
Fate Unraveler,Born of the Gods,1,True
Eater of Hope,Born of the Gods,1,True
Timbermaw Larva,Zendikar,1,False
Flameblast Dragon,Magic 2012,1,True
Phytotitan,Magic 2015 Core Set,1,True
Soul of Ravnica,Media Inserts,1,True
Staff of Nin,Release Events,1,True
Dispeller's Capsule,Shards of Alara,1,True
Smogsteed Rider,Guildpact,1,True
Smoldering Crater,Beatdown Box Set,1,False
Cackling Flames,Dissension,1,True
Entropic Eidolon,Dissension,1,True
Nightcreep,Dissension,1,True
Vigean Graftmage,Dissension,1,True
Simic Ragworm,Dissension,1,True
Lionheart Maverick,Guildpact,1,True
Fencer's Magemark,Guildpact,1,True
Rustspore Ram,Mirrodin,1,True
Fade into Antiquity,Theros,1,True
Scoria Elemental,Scars of Mirrodin,1,True
Venerable Kumo,Champions of Kamigawa,1,True
Zombie Musher,Coldsnap,1,True
Thrive,Dissension,1,True
Savage Gorilla,Apocalypse,1,True
Shivan Harvest,Invasion,1,True
Shielding Plax,Dissension,1,True
Absolver Thrull,Guildpact,1,True
Taste for Mayhem,Dissension,1,True
Weight of Spires,Dissension,1,True
Enigma Eidolon,Dissension,1,True
Duergar Assailant,Eventide,1,True
Ghost Warden,Guildpact,1,True
Cathartic Adept,Shards of Alara,1,True
Stingscourger,Planar Chaos,1,True
Bog Glider,Prophecy,1,True
Steamcore Weird,Guildpact,2,True
Battering Wurm,Guildpact,1,True
Daggerclaw Imp,Guildpact,1,True
Skullmead Cauldron,Dissension,1,True
Swirling Sandstorm,Judgment,1,True
AEtherplasm,Guildpact,1,True
Ogre Savant,Guildpact,1,True
Protomatter Powder,Shards of Alara,1,True
Skarrgan Skybreaker,Guildpact,1,True
Blessing of the Nephilim,Dissension,1,True
Quest for the Gemblades,Zendikar,1,True
Canopy Crawler,Legions,1,True
Flamewave Invoker,Legions,1,True
Covert Operative,Legions,1,True
Deftblade Elite,Legions,1,True
Echoing Courage,Modern Masters,1,True
Farhaven Elf,Shadowmoor,1,True
Gift of the Gargantuan,Shards of Alara,1,True
Vithian Renegades,Alara Reborn,1,True
Vorrac Battlehorns,Mirrodin,1,True
Tel-Jilad Archers,Mirrodin,1,True
Zealous Inquisitor,Scourge,1,True
Kjeldoran Javelineer,Coldsnap,2,True
Order of the Stars,Guildpact,1,True
Wirewood Elf,Onslaught,1,True
Wildsize,Guildpact,1,True
Luminesce,Coldsnap,1,True
Gobhobbler Rats,Dissension,1,True
Plague Spores,Invasion,1,True
Flayer Husk,Mirrodin Besieged,1,True
Tower Gargoyle,Shards of Alara,1,True
Obelisk of Grixis,Shards of Alara,1,True
Festering Goblin,Modern Masters,1,True
Lingering Death,Scourge,1,True
Ruthless Cullblade,Worldwake,1,True
Screeching Bat,Innistrad,1,True
Hellhole Rats,Dissension,1,True
Skyscribing,Dissension,1,True
Bloodscale Prowler,Guildpact,1,True
Primal Command,Modern Masters 2017 Edition,1,False
Goblin Medics,Urza's Legacy,1,True
Laccolith Grunt,Nemesis,1,True
Eager Cadet,Seventh Edition,1,True
Cabal Archon,Onslaught,1,True
Frozen Solid,Coldsnap,1,True
Rally the Peasants,Innistrad,1,False
Haazda Exonerator,Dissension,1,True
Pith Driller,New Phyrexia,1,True
Spined Thopter,New Phyrexia,2,True
Ruthless Invasion,New Phyrexia,1,True
Cathedral Membrane,New Phyrexia,1,True
Angel's Herald,Shards of Alara,1,True
Paladin of Prahv,Dissension,1,True
Court Hussar,Dissension,1,True
Brackwater Elemental,Conflux,1,True
Shifting Sky,Planeshift,1,True
Terraformer,Ravnica: City of Guilds,1,True
Helium Squirter,Modern Masters 2015 Edition,1,True
Frost Raptor,Coldsnap,1,True
Writ of Passage,Dissension,1,True
Grapeshot Catapult,Seventh Edition,1,True
Iron Lance,Mercadian Masques,1,True
Bonescythe Sliver,Media Inserts,1,True
Arbiter of the Ideal,Born of the Gods,2,True
Soldier of the Pantheon,Theros,2,True
Judge's Familiar,Friday Night Magic,4,True
Mentor of the Meek,Innistrad,1,True
Blizzard Specter,Coldsnap,1,True
Myr Turbine,Mirrodin Besieged,1,True
Force Spike,Friday Night Magic,1,True
Llanowar Elves,Magic 2012,2,True
Heartstone,Premium Deck Series: Slivers,3,True
Khalni Garden,Worldwake,1,True
Phyrexian Negator,Duel Decks: Phyrexia vs. The Coalition,1,False
Phyrexian Colossus,Seventh Edition,1,True
Mindshrieker,Innistrad,1,True
Merfolk Sovereign,Magic 2011,1,True
Krosan Restorer,Torment,1,True
Calciderm,Gateway Promos,1,True
Mesa Enchantress,Magic 2010,1,True
Elvish Mystic,Friday Night Magic,5,True
Strangleroot Geist,Dark Ascension,1,True
Elvish Scrapper,Onslaught,1,True
"Mirko Vosk, Mind Drinker",Dragon's Maze,1,True
Ghost Council of Orzhova,Guildpact,4,True
Firemane Avenger,Gatecrash,1,True
Talisman of Indulgence,Mirrodin,1,True
Body Snatcher,Urza's Destiny,1,True
Perilous Myr,Scars of Mirrodin,1,True
Epochrasite,Future Sight,1,True
Bramblecrush,Innistrad,2,True
Hellrider,Dark Ascension,1,True
Myr Reservoir,Scars of Mirrodin,1,True
Contagion Clasp,Scars of Mirrodin,1,True
Ornithopter,Magic 2010,1,True
Black Vise,From the Vault: Relics,1,True
