Cardname,Edition,Foil,Qty
Advent of the Wurm,Dragon's Maze,True,1
Skylasher,Dragon's Maze,True,1
Enter the Infinite,Gatecrash,False,1
Hushwing Gryff,Magic 2015 Core Set,False,2
Temple of Deceit,Theros,False,2
Kessig Wolf Run,Innistrad,False,1
Gemstone Mine,Weatherlight,False,1
Black Vise,Revised Edition (Foreign Black Border),False,1
Swiftfoot Boots,Magic 2012,False,1
Sorceress Queen,Revised Edition (Foreign Black Border),False,1
Gift of Orzhova,Gatecrash,True,1
Drain Power,Revised Edition (Foreign Black Border),False,1
Emblem - Domri Rade,Gatecrash,False,1
Cleric Token,Gatecrash,False,1
Legion Loyalist,Gatecrash,False,1
