Cardname,Edition,Qty,Foil
Cunning Wish,Judgment,1,False
Fyndhorn Elves,From the Vault: Twenty,1,False
Ball Lightning,Judge Gift Program,1,False
Isochron Scepter,Friday Night Magic,2,False
Duplicant,Archenemy,1,False
Ghost Quarter,Commander 2014,1,False
Rise // Fall,Duel Decks: Ajani vs. Nicol Bolas,1,False
Door of Destinies,Magic 2014 Core Set,1,True
Mortify,Conspiracy,1,True
Reverberate,Premium Deck Series: Fire and Lightning,1,True
Vivid Crag,Modern Masters,1,True
Murmuring Bosk,From the Vault: Realms,1,True
Forbidden Orchard,From the Vault: Realms,4,True
Temple of Mystery,Clash Pack Promos,1,True
Serum Visions,Modern Masters 2017 Edition,1,True
Crystalline Sliver,Premium Deck Series: Slivers,3,True
Muscle Sliver,Friday Night Magic,2,True
Knight of the Reliquary,Duel Decks: Knights vs. Dragons,3,True
"Ink-Eyes, Servant of Oni",From the Vault: Twenty,1,True
Hurkyl's Recall,Modern Masters 2015 Edition,2,True
Price of Progress,Premium Deck Series: Fire and Lightning,1,True
Brainstorm,Eternal Masters,2,True
Stifle,Conspiracy,1,True
Goblin Welder,Judge Gift Program,1,True
"Diaochan, Artful Beauty",Commander's Arsenal,1,True
Mirari's Wake,Commander's Arsenal,1,True
Balance,Eternal Masters,1,True
Loyal Retainers,Commander's Arsenal,1,True
Wall of Blossoms,From the Vault: Twenty,1,True
Wall of Blossoms,Friday Night Magic,1,True
Mind's Eye,Commander's Arsenal,1,True
Dragonlair Spider,Commander's Arsenal,1,True
The Mimeoplasm,Commander's Arsenal,1,True
Duplicant,Commander's Arsenal,1,True
Isochron Scepter,Mirrodin,1,True
Evolution Charm,Planar Chaos,1,True
Grand Arbiter Augustin IV,Dissension,1,False
Cavern Harpy,Planeshift,1,True
Baleful Strix,Commander 2013 Edition,3,False
Baleful Strix,Eternal Masters,1,False
Shardless Agent,Planechase 2012 Edition,4,False
Sword of Body and Mind,From the Vault: Relics,1,True
Immaculate Magistrate,Commander 2014,1,False
Thoughtcast,Modern Masters 2015 Edition,1,True
Rise from the Grave,Gateway Promos,1,True
Oblivion Ring,Friday Night Magic,1,True
Wall of Omens,Eternal Masters,1,False
"Edric, Spymaster of Trest",Commander's Arsenal,1,True
Living Death,From the Vault: Annihilation,2,True
Animate Dead,Premium Deck Series: Graveborn,4,True
Dark Ritual,From the Vault: Twenty,4,True
Feldon of the Third Path,Commander 2014,1,False
Misdirection,Conspiracy,3,True
Pyroblast,Eternal Masters,1,True
Upheaval,From the Vault: Annihilation,3,True
Desertion,Commander's Arsenal,1,True
Mother of Runes,Eternal Masters,1,False
Bogardan Hellkite,Duel Decks: Knights vs. Dragons,1,True
Kird Ape,Eternal Masters,1,True
Watchwolf,Friday Night Magic,1,True
Swords to Plowshares,From the Vault: Twenty,1,False
Swords to Plowshares,From the Vault: Twenty,1,True
Raven Familiar,Urza's Legacy,1,True
Cephalid Constable,Judgment,1,True
Sunder,Urza's Saga,1,False
Rath's Edge,Nemesis,1,True
Pillage,Premium Deck Series: Fire and Lightning,1,True
Chaos Warp,Commander's Arsenal,1,True
Gitaxian Probe,New Phyrexia,1,False
Erratic Portal,Exodus,1,False
Vedalken Archmage,Mirrodin,1,False
Psychatog,Odyssey,1,True
Teferi's Puzzle Box,Seventh Edition,1,False
Lone Missionary,Rise of the Eldrazi,1,True
Stitch Together,Judgment,1,True
Vindicate (2013),Judge Gift Program,1,True
Anguished Unmaking,Shadows Over Innistrad,1,True
Fact or Fiction,Eternal Masters,1,True
Utter End,Magic Game Day Promos,1,True
Necropotence,Deckmasters,1,True
Elspeth Tirel,Scars of Mirrodin,1,True
Goblin Guide,Zendikar,1,False
Rhystic Study,Commander's Arsenal,1,True
Scroll Rack,Tempest,2,False
Counterspell,Judge Gift Program,1,False
"Boseiju, Who Shelters All",From the Vault: Realms,2,True
Sliver Hive,Magic 2015 Core Set,1,True
"Urborg, Tomb of Yawgmoth",From the Vault: Realms,1,True
Eldrazi Displacer,Oath of the Gatewatch,1,True
Voice of Resurgence,Dragon's Maze,1,False
"Nykthos, Shrine to Nyx",Theros,1,True
Weathered Wayfarer,Ninth Edition,1,True
