Cardname,Edition,Foil,Qty
Necropotence,Ice Age,False,1
Mystic Remora,Ice Age,False,3
Mishra's Factory,Fourth Edition,False,1
Soldevi Excavations,Alliances,False,2
Balduvian Trading Post,Alliances,False,1
Mystical Tutor,Mirage,False,1
Urza's Tower,Chronicles,False,1
Lotus Petal,Tempest,False,3
Diabolic Edict,Tempest,False,4
Propaganda,Tempest,False,2
Capsize,Tempest,False,2
Oath of Druids,Exodus,False,1
Sphere of Resistance,Exodus,False,2
Thran Quarry,Urza's Saga,False,1
Mother of Runes,Urza's Legacy,False,2
Opportunity,Urza's Legacy,True,1
Phyrexian Reclamation,Urza's Legacy,True,1
Cloud of Faeries,Urza's Legacy,True,1
Avalanche Riders,Urza's Legacy,True,1
Ghitu Encampment,Urza's Legacy,True,1
Faerie Conclave,Urza's Legacy,True,1
Deep Analysis,Torment,True,1
Howling Mine,Seventh Edition,False,1
City of Brass,Seventh Edition,False,1
Chain of Vapor,Onslaught,False,1
Naturalize,Onslaught,True,1
Wirewood Lodge,Onslaught,True,1
Willbender,Legions,True,1
Bladewing the Risen,Scourge,True,1
Mind's Desire,Scourge,False,2
Tree of Tales,Mirrodin,True,1
Great Furnace,Mirrodin,True,1
Vault of Whispers,Mirrodin,True,2
Seat of the Synod,Mirrodin,True,1
Viridian Shaman,Mirrodin,True,1
Acquire,Fifth Dawn,False,1
Trinket Mage,Duel Decks: Elspeth vs. Tezzeret,False,3
Serum Visions,Fifth Dawn,False,1
Vedalken Shackles,Fifth Dawn,False,1
Lantern of Insight,Fifth Dawn,False,1
Acquire,Fifth Dawn,True,1
"Isamaru, Hound of Konda",Champions of Kamigawa,True,1
Ninja of the Deep Hours,Betrayers of Kamigawa,True,1
Skred,Coldsnap,True,1
Wall of Shards,Coldsnap,True,1
Selesnya Sanctuary,Ravnica: City of Guilds,True,1
Spawnbroker,Ravnica: City of Guilds,True,1
Putrefy,Ravnica: City of Guilds,True,1
Eyes of the Watcher,Fifth Dawn,False,1
Orzhov Basilica,Guildpact,True,1
Izzet Boilerworks,Guildpact,True,1
Gruul Turf,Guildpact,True,1
Orzhov Pontiff,Guildpact,False,1
Mortify,Guildpact,True,1
Experiment Kraj,Dissension,False,1
Azorius Chancery,Dissension,True,1
Azorius Chancery,Modern Masters 2015 Edition,False,1
Utopia Sprawl,Dissension,False,1
Rise // Fall,Dissension,False,1
Simic Growth Chamber,Dissension,True,1
Stupor,"Time Spiral ""Timeshifted""",True,2
Merieke Ri Berit,"Time Spiral ""Timeshifted""",False,1
Coalition Victory,"Time Spiral ""Timeshifted""",True,1
Lotus Bloom,Time Spiral,True,1
Conflagrate,Time Spiral,False,2
Might of Old Krosa,Time Spiral,False,1
Magus of the Disk,Time Spiral,True,1
Momentary Blink,Time Spiral,True,1
Temporal Isolation,Time Spiral,True,1
Draining Whelk,Time Spiral,False,1
Drifter il-Dal,Time Spiral,True,1
Looter il-Kor,Time Spiral,True,1
Keen Sense,Planar Chaos,False,3
Aven Riftwatcher,Planar Chaos,True,1
Groundbreaker,Planar Chaos,True,1
Nix,Future Sight,True,1
Profane Command,Lorwyn,True,1
Vivid Creek,Lorwyn,True,1
Stillmoon Cavalier,Eventide,False,1
Crumbling Necropolis,Shards of Alara,True,1
Savage Lands,Shards of Alara,True,1
Seaside Citadel,Shards of Alara,True,1
Fatestitcher,Shards of Alara,False,2
Blightning,Shards of Alara,True,1
Bloodbraid Elf,Alara Reborn,True,1
Putrid Leech,Alara Reborn,True,1
Wall of Denial,Alara Reborn,True,1
Journey to Nowhere,Zendikar,True,1
Loam Lion,Worldwake,True,2
Tectonic Edge,Worldwake,True,1
Basilisk Collar,Worldwake,True,1
Splinter Twin,Rise of the Eldrazi,False,1
Evolving Wilds,Rise of the Eldrazi,True,1
Wall of Omens,Rise of the Eldrazi,False,1
Wall of Omens,Eternal Masters,False,1
Cast Through Time,Rise of the Eldrazi,False,1
Leonin Arbiter,Scars of Mirrodin,False,4
Nim Deathmantle,Scars of Mirrodin,True,1
Precursor Golem,Scars of Mirrodin,True,1
Mimic Vat,Scars of Mirrodin,True,1
Memnite,Scars of Mirrodin,True,1
Semblance Anvil,Scars of Mirrodin,True,1
Nim Deathmantle,Scars of Mirrodin,False,3
Sword of Feast and Famine,Mirrodin Besieged,False,1
Mental Misstep,New Phyrexia,False,3
Mental Misstep,New Phyrexia,True,1
Su-Chi,Antiquities,False,1
Moorland Haunt,Innistrad,True,2
Grafdigger's Cage,Dark Ascension,False,1
"Thalia, Guardian of Thraben",Dark Ascension,False,1
Deadeye Navigator,Avacyn Restored,False,2
Alchemist's Refuge,Avacyn Restored,False,1
Rogue's Passage,Return to Ravnica,True,1
Boros Reckoner,Gatecrash,True,3
Burning-Tree Emissary,Gatecrash,True,4
Legion Loyalist,Gatecrash,False,2
Legion Loyalist,Gatecrash,True,1
"Obzedat, Ghost Council",Gatecrash,True,1
Blood Baron of Vizkopa,Dragon's Maze,True,1
Pontiff of Blight,Dragon's Maze,True,1
Temple of Deceit,Theros,True,1
Tomb of the Spirit Dragon,Khans of Tarkir,True,2
Dromoka's Command,Dragons of Tarkir,False,1
Risen Executioner,Dragons of Tarkir,True,2
Deathmist Raptor,Dragons of Tarkir,False,1
Dragon Whisperer,Dragons of Tarkir,True,1
Feldon of the Third Path,Commander 2014,False,1
False Peace,Starter 1999,False,1
Wall of Roots,Mirage,False,4
Crop Rotation,Urza's Legacy,False,12
Plague Myr,Mirrodin Besieged,False,1
Signal Pest,Mirrodin Besieged,False,1
Hell's Caretaker,Chronicles,False,2
Dragonmaster Outcast,Battle for Zendikar,False,1
Channel,Revised Edition (Foreign Black Border),False,1
Wall of Shards,Coldsnap,False,1
