Cardname,Edition,Qty,Foil
Necropotence,Ice Age,1,False
Mystic Remora,Ice Age,3,False
Mishra's Factory,Fourth Edition,1,False
Soldevi Excavations,Alliances,2,False
Balduvian Trading Post,Alliances,1,False
Mystical Tutor,Mirage,1,False
Urza's Tower,Chronicles,1,False
Lotus Petal,Tempest,3,False
Diabolic Edict,Tempest,4,False
Propaganda,Tempest,2,False
Capsize,Tempest,2,False
Oath of Druids,Exodus,1,False
Sphere of Resistance,Exodus,2,False
Thran Quarry,Urza's Saga,1,False
Mother of Runes,Urza's Legacy,2,False
Opportunity,Urza's Legacy,1,True
Phyrexian Reclamation,Urza's Legacy,1,True
Cloud of Faeries,Urza's Legacy,1,True
Avalanche Riders,Urza's Legacy,1,True
Ghitu Encampment,Urza's Legacy,1,True
Faerie Conclave,Urza's Legacy,1,True
Deep Analysis,Torment,1,True
Howling Mine,Seventh Edition,1,False
City of Brass,Seventh Edition,1,False
Chain of Vapor,Onslaught,1,False
Naturalize,Onslaught,1,True
Wirewood Lodge,Onslaught,1,True
Willbender,Legions,1,True
Bladewing the Risen,Scourge,1,True
Mind's Desire,Scourge,2,False
Tree of Tales,Mirrodin,1,True
Great Furnace,Mirrodin,1,True
Vault of Whispers,Mirrodin,2,True
Seat of the Synod,Mirrodin,1,True
Viridian Shaman,Mirrodin,1,True
Acquire,Fifth Dawn,1,False
Trinket Mage,Duel Decks: Elspeth vs. Tezzeret,3,False
Serum Visions,Fifth Dawn,1,False
Vedalken Shackles,Fifth Dawn,1,False
Lantern of Insight,Fifth Dawn,1,False
Acquire,Fifth Dawn,1,True
"Isamaru, Hound of Konda",Champions of Kamigawa,1,True
Ninja of the Deep Hours,Betrayers of Kamigawa,1,True
Skred,Coldsnap,1,True
Wall of Shards,Coldsnap,1,True
Selesnya Sanctuary,Ravnica: City of Guilds,1,True
Spawnbroker,Ravnica: City of Guilds,1,True
Putrefy,Ravnica: City of Guilds,1,True
Eyes of the Watcher,Fifth Dawn,1,False
Orzhov Basilica,Guildpact,1,True
Izzet Boilerworks,Guildpact,1,True
Gruul Turf,Guildpact,1,True
Orzhov Pontiff,Guildpact,1,False
Mortify,Guildpact,1,True
Experiment Kraj,Dissension,1,False
